consultant_id,original,current,earns_at,expires_at,description
207750276,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207750614,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207750680,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207750681,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207750792,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207751052,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207752174,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207752747,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207753061,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207753144,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207753597,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207753664,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207754123,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
207754409,-158,-158,2026-01-01 00:00:00+00,2026-12-31 00:00:00+00,Voided Points - Puntos Anulados
